customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,2021-03-15,Refferal,2025-03-15,Standard,Annual,,,13.99,627,12,0,keshav,India,Maharashtra,Male,1982-04-12,,,,
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,raghav,India,Karnataka,Male,1995-11-23,2024-08-28,Y,10.0,2.0
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,lalita,India,Delhi,Female,1978-02-15,,,,
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,mohan,India,Nagaland,Male,2001-08-30,,,,
0013-EXCHZ,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,mira,India,Delhi,Female,1990-05-05,2024-01-20,Y,20.0,1.0
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,durga,India,Delhi,Female,1988-12-10,2025-03-18,N,90.0,1.0
0013-SMEOE,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,mina,India,Meghalaya,Female,1976-09-21,2024-11-01,N,30.0,1.0
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,madan,India,Rajasthan,Male,1999-03-14,,,,
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,maya,Nepal,Kathmandu,Female,1985-07-07,,,,
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,arjun,Nepal,Kathmandu,Male,1993-10-29,,,,
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610,14,0,shiva,India,Maharashtra,Male,1997-01-22,,,,
0017-IUDMW,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,1,rangadevi,India,Karnataka,Female,1981-06-18,2024-04-10,Y,25.0,1.0
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980,19,0,chitra,India,Telangana,Female,2004-12-01,,,,
0019-EFAEP,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,1,raju,India,Meghalaya,Female,1992-04-25,2024-09-27,Y,30.0,1.0
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,,,,
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640,58,0,parvati,India,Delhi,Female,1986-02-28,,,,
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550,62,0,rikim,India,Meghalaya,Female,1994-08-19,,,,
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840,27,0,vishakha,India,Rajasthan,Female,2000-09-02,,,,
0022-TCJCI,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,1,raghvendra,India,Telangana,Male,1983-12-30,2024-09-14,N,90.0,2.0
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955,7,0,rishabh,India,Uttar Pradesh,Male,1991-05-14,,,,
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790,47,0,sudevi,India,Maharashtra,Female,1977-10-06,,,,
1000-UDAXI,2021-08-10,Organic,2021-09-09,Basic,Monthly,,,6.99,37,91,0,ayaan,India,Telangana,Male,1995-05-11,,,,
1001-HOSIZ,2020-02-23,Refferal,2020-03-24,Basic,Monthly,2020-07-16,Too expensive,8.99,255,70,1,pooja,India,Delhi,Female,1996-04-26,2021-12-31,Y,28.0,3.0
1002-HDMIO,2020-12-01,Organic,2021-11-26,Standard,Annual,,,17.99,444,42,0,rohan,India,Uttar Pradesh,Male,1974-05-26,,,,
1003-UWRHV,2022-07-12,Refferal,2022-08-11,Standard,Monthly,2024-01-19,Too expensive,17.99,836,55,1,anaya,India,Delhi,Male,2001-02-10,,,,
1004-RIXSN,2020-10-17,Refferal,2021-10-12,Standard,Annual,,,12.99,551,42,0,dev,India,Tamil Nadu,Female,1971-03-17,,,,
1005-OQIRA,2021-12-14,Paid,2022-01-13,Basic,Monthly,,,9.99,157,45,0,kabir,Nepal,Kathmandu,Male,1999-06-24,,,,
1006-QTGEL,2021-09-07,Organic,2021-10-07,Standard,Monthly,2023-05-25,Poor customer support,13.99,143,63,1,neha,India,Karnataka,Male,1991-11-14,,,,
1007-EVPRF,2023-03-10,Paid,2024-03-04,Standard,Annual,,,13.99,648,33,0,krishna,India,Gujarat,Female,1974-07-03,,,,
1008-KASRH,2022-02-14,Organic,2023-02-09,Premium,Annual,,,20.99,559,53,0,tara,India,Telangana,Male,1975-04-09,,,,
1009-PZNGD,2020-02-08,Paid,2020-03-09,Premium,Monthly,2022-04-08,Too expensive,29.99,284,43,1,vihaan,India,West Bengal,Female,1983-06-11,,,,
1010-IOHCO,2019-08-29,Organic,2019-09-28,Basic,Monthly,2019-10-15,Poor customer support,8.99,219,99,1,priya,India,Gujarat,Male,1969-03-09,,,,
1011-XZRVW,2024-08-21,Organic,2024-09-20,Basic,Monthly,,,8.99,303,60,0,myra,India,Karnataka,Female,1967-08-17,2025-04-18,N,81.0,1.0
1012-STBTC,2022-05-13,Organic,2022-06-12,Standard,Monthly,,,12.99,88,70,0,aadhya,India,West Bengal,Male,1976-09-12,,,,
1013-CRGQI,2024-12-06,Paid,2025-12-01,Basic,Annual,2026-06-30,Poor streaming quality,9.99,791,44,1,arjun,India,Uttar Pradesh,Female,1981-07-30,,,,
1014-XREIJ,2020-01-14,Refferal,2020-02-13,Standard,Monthly,,,12.99,236,55,0,nisha,India,Telangana,Female,1995-11-03,2021-08-10,Y,14.0,3.0
1015-NEBJL,2020-09-25,Paid,2020-10-25,Standard,Monthly,,,13.99,317,39,0,dev,India,Delhi,Female,1995-08-06,2021-08-31,N,71.0,2.0
1016-MBPHG,2022-02-17,Organic,2022-03-19,Standard,Monthly,,,12.99,472,61,0,rishi,India,Nagaland,Female,1975-01-01,,,,
1017-DIFSI,2021-02-17,Organic,2022-02-12,Standard,Annual,,,17.99,1050,51,0,vivaan,India,Maharashtra,Male,1997-09-06,,,,
1018-RVXXX,2024-09-08,Organic,2025-09-03,Standard,Annual,,,13.99,521,62,0,kabir,India,Telangana,Male,1994-10-18,,,,
1019-EGNVM,2022-08-12,Organic,2022-09-11,Premium,Monthly,,,29.99,1075,55,0,kabir,Nepal,Kathmandu,Male,1983-03-21,,,,
1020-JQVUT,2024-04-30,Organic,2024-05-30,Basic,Monthly,,,6.99,57,77,0,anaya,India,Maharashtra,Female,1995-03-08,,,,
1021-MPMHE,2019-07-25,Paid,2020-07-19,Basic,Annual,,,8.99,748,52,0,rohan,Nepal,Kathmandu,Male,1999-12-02,,,,
1022-VQRTK,2021-11-27,Refferal,2021-12-27,Standard,Monthly,,,13.99,591,79,0,neha,India,Nagaland,Female,2002-04-05,,,,
1023-HIOCW,2021-05-26,Organic,2021-06-25,Basic,Monthly,2022-08-31,Too expensive,6.99,234,76,1,ishaan,India,Telangana,Male,2005-01-22,,,,
1024-AYSMP,2024-06-22,Refferal,2025-06-17,Standard,Annual,,,12.99,529,42,0,aarav,India,Uttar Pradesh,Female,2003-04-14,,,,
1025-VZMXF,2020-07-09,Organic,2021-07-04,Standard,Annual,,,13.99,279,42,0,rishi,India,Nagaland,Male,2005-09-07,,,,
1026-OKKYM,2019-10-09,Refferal,2019-11-08,Standard,Monthly,,,12.99,506,26,0,krishna,India,Meghalaya,Male,1986-02-05,,,,
1027-ATEHE,2020-04-14,Paid,2020-05-14,Standard,Monthly,,,17.99,311,37,0,myra,India,West Bengal,Female,1985-11-11,2022-03-08,N,69.0,1.0
1028-WGCSW,2023-10-21,Organic,2023-11-20,Premium,Monthly,,,29.99,252,33,0,rishi,India,West Bengal,Male,2003-02-22,,,,
1029-DNLUO,2022-01-04,Refferal,2022-02-03,Standard,Monthly,,,17.99,404,31,0,yash,India,Karnataka,Male,1992-08-18,,,,
1030-HYOST,2022-02-19,Refferal,2022-03-21,Basic,Monthly,,,8.99,518,68,0,kabir,India,Meghalaya,Female,2003-03-05,,,,
1031-CHXNP,2023-02-20,Paid,2023-03-22,Basic,Monthly,,,8.99,328,85,0,meera,India,Telangana,Female,1985-02-07,,,,
1032-OIJIH,2024-06-06,Organic,2025-06-01,Premium,Annual,,,29.99,1823,43,0,vihaan,Nepal,Kathmandu,Male,1998-04-29,,,,
1033-GJHLF,2024-07-03,Paid,2024-08-02,Premium,Monthly,2024-08-29,Poor streaming quality,20.99,743,57,1,ishaan,India,Delhi,Female,1977-04-22,,,,
1034-PDCMP,2020-04-30,Organic,2021-04-25,Premium,Annual,,,20.99,871,61,0,aditya,India,Tamil Nadu,Male,1971-10-22,,,,
1035-MOOJS,2019-11-29,Organic,2019-12-29,Premium,Monthly,2020-07-08,Poor streaming quality,29.99,357,67,1,aadhya,India,Rajasthan,Male,1992-05-07,2020-09-13,N,74.0,1.0
1036-VHIZZ,2019-10-20,Refferal,2020-10-14,Standard,Annual,2022-02-22,Too expensive,12.99,904,58,1,rohan,India,Tamil Nadu,Female,1984-01-27,2021-10-05,Y,27.0,2.0
1037-XKTIA,2023-12-17,Organic,2024-12-11,Standard,Annual,,,17.99,516,45,0,aditya,India,Telangana,Male,1999-04-22,,,,
1038-PCPLN,2019-05-31,Refferal,2019-06-30,Standard,Monthly,,,17.99,410,41,0,anaya,India,Uttar Pradesh,Female,1979-10-18,,,,
1039-QAVRO,2020-06-20,Organic,2021-06-15,Standard,Annual,,,17.99,865,49,0,aadhya,India,Delhi,Male,1992-12-06,2022-03-05,N,90.0,3.0
1040-DUEPW,2021-02-19,Paid,2021-03-21,Premium,Monthly,,,22.99,950,23,0,ishaan,India,Gujarat,Female,2002-06-12,,,,
1041-NKZQI,2025-03-10,Paid,2025-04-09,Premium,Monthly,,,22.99,664,38,0,rishi,India,Delhi,Male,2002-07-27,,,,
1042-HYNBK,2022-09-21,Paid,2022-10-21,Standard,Monthly,,,17.99,512,51,0,rahul,India,Nagaland,Female,1982-04-27,,,,
1043-NUECP,2022-07-21,Refferal,2023-07-16,Premium,Annual,,,22.99,1803,48,0,priya,India,Rajasthan,Female,1994-02-24,,,,
1044-HUVJH,2022-08-21,Refferal,2023-08-16,Standard,Annual,,,12.99,387,45,0,rahul,India,Maharashtra,Male,1999-02-09,2024-03-22,N,56.0,1.0
1045-FCTMT,2022-03-24,Paid,2022-04-23,Standard,Monthly,,,13.99,172,53,0,kabir,India,Telangana,Female,1975-06-02,,,,
1046-NWIOJ,2019-03-31,Refferal,2019-04-30,Standard,Monthly,,,13.99,648,31,0,reyansh,India,Meghalaya,Male,1975-08-23,,,,
1047-YXBTX,2020-07-14,Organic,2020-08-13,Basic,Monthly,,,9.99,487,63,0,myra,India,Rajasthan,Female,1992-03-26,2020-11-25,Y,28.0,1.0
1048-XNFGE,2022-04-23,Organic,2023-04-18,Premium,Annual,,,22.99,888,42,0,priya,India,Gujarat,Male,1988-10-24,2025-01-07,N,80.0,3.0
1049-RDOLV,2022-09-05,Organic,2022-10-05,Basic,Monthly,,,9.99,199,83,0,rahul,India,West Bengal,Female,2001-11-22,,,,
1050-NDEBB,2025-01-21,Paid,2025-02-20,Basic,Monthly,2026-06-30,Not enough content,9.99,333,87,1,ishaan,India,Nagaland,Female,2004-10-19,2026-04-20,Y,25.0,1.0
1051-DVLRU,2019-07-27,Paid,2019-08-26,Basic,Monthly,,,6.99,165,87,0,diya,India,Delhi,Female,1970-06-25,2021-09-26,Y,48.0,2.0
